번호,관리번호,지정일자,해제일자,운영상태,읍면동명,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
348,6510000-S199200002,2020.3.20,,사용중,,동남2차아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 천수로11길 10 (일도이동, 동남2차아파트)",제주특별자치도 제주시 일도이동 405번지,63255,지하,1119.56,1357,2023.6.15 11:03,I,2023.7.28 1:14,33,30,22.08,126,32,35.66,33.5061684,126.5431315,911125.5842,1501997.78
349,6510000-S201100008,2011.3.7,,사용중,한림읍,동명리사무소(지하 1층),공공용시설,제주특별자치도 제주시 한림읍 한림중앙로 62 (동명리사무소),제주특별자치도 제주시 한림읍 1591번지 6호,63013,지하,168.8,204,2023.4.29 9:24,I,2023.7.28 1:14,33,24,32.88,126,15,55.79,33.40927609,126.2658187,885239.6472,1491526.428
350,6510000-S199400010,2019.2.21,,사용중,,신천지아파트101동(지하 1층),공공용시설,"제주특별자치도 제주시 천수로 72 (일도이동, 신천지아파트)",제주특별자치도 제주시 일도이동 47번지 1호,63258,지하,569.2,689,2023.4.11 11:57,I,2023.7.28 1:14,33,30,16.31,126,32,37.17,33.50505675,126.5437262,911179.6911,1501874.017
351,6510000-S199600002,2019.2.21,,사용중,,혜성대유아파트 104동(지하 1층),공공용시설,"제주특별자치도 제주시 연수로 40 (일도이동, 혜성대유아파트)",제주특별자치도 제주시 일도이동 46번지 1호,63257,지하,681.3,825,2023.4.11 12:08,I,2023.7.28 1:14,33,30,20.96,126,32,42.5,33.5054466,126.5446894,911269.5512,1501916.418
352,6510000-S199800001,2020.1.30,,사용중,,기산아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 삼성로5길 9 (일도이동, 일도기산아파트)",제주특별자치도 제주시 일도이동 1046번지 2호,63269,지하,1862,2256,2023.4.11 12:08,I,2023.7.28 1:14,33,30,25.17,126,31,44.13,33.50735453,126.5294524,909856.2487,1502141.091
353,6510000-S201100025,2019.2.19,,사용중,,연동타워프로빌(지하주차장 1층~4층),공공용시설,"제주특별자치도 제주시 도령로 95 (연동, 타워프로빌)",제주특별자치도 제주시 연동 2325번지 6호,63126,지하,7450.81,9031,2023.4.13 11:45,I,2023.7.28 1:14,33,29,28.2,126,29,16.62,33.49111927,126.4879883,905987.3855,1500377.782
354,6510000-S201400010,2019.2.18,,사용중,,제주연구원(지하 1층),공공용시설,"제주특별자치도 제주시 아연로 253 (오라이동, 제주연구원)",제주특별자치도 제주시 오라이동 44번지 1호,63147,지하,736.09,892,2023.6.14 9:55,I,2023.7.28 1:14,33,28,3.75,126,30,52.5,33.46767244,126.5146986,908444.1258,1497754.242
355,6510000-S201400012,2014.8.8,,사용중,,돌문화공원관리사무소(지하 1층),공공용시설,"제주특별자치도 제주시 조천읍 남조로 2023, 교래자연휴양림",제주특별자치도 제주시 조천읍 교래리 산 95 교래자연휴양림,63345,지하,200,242,2023.4.15 10:26,I,2023.7.28 1:14,33,26,47.84,126,39,50.37,33.4466214,126.6639929,922298.4474,1495298.645
356,6510000-S201500001,2015.2.10,,사용중,,공간아트빌(지하주차장 1층),공공용시설,"제주특별자치도 제주시 성지로 6 (이도일동, 공간아트빌)",제주특별자치도 제주시 이도일동 1536번지 1호,63193,지하,230,278,2023.4.29 13:44,I,2023.7.28 1:14,33,30,34.21,126,31,28.21,33.50956462,126.5244175,909390.8939,1502390.521
357,6510000-S201500002,2015.2.10,,사용중,,태홍누리안2차아파트(지하주차장 1층~2층),공공용시설,"제주특별자치도 제주시 동광로9길 6 (이도일동, 태홍누리안2차아파트)",제주특별자치도 제주시 이도일동 1244번지 10호,63196,지하,1125,1363,2023.5.4 16:02,I,2023.7.28 1:14,33,30,11.48,126,32,0.52,33.50316511,126.5333819,910216.9015,1501673.182
358,6510000-S201500003,2015.2.10,,사용중,,장원스카이펠리스(지하주차장 1층~5층),공공용시설,"제주특별자치도 제주시 동광로3길 3 (이도일동, 장원스카이펠리스)",제주특별자치도 제주시 이도일동 1258번지 1호,63197,지하,5906,7158,2023.4.29 14:03,I,2023.7.28 1:14,33,30,6.76,126,31,49.5,33.50184783,126.5306452,909961.3354,1501529.499
359,6510000-S198701003,2019.2.7,,사용중,,동방운수(지하 1층),공공용시설,제주특별자치도 제주시 선반로2길 5-3 (화북일동),제주특별자치도 제주시 화북일동 2126번지 6호,63297,지하,198.3,240,2023.6.15 13:32,I,2023.7.28 1:14,33,30,51.64,126,33,36.05,33.51426085,126.5602035,912719.4226,1502880.542
360,6510000-S199601008,1996.12.31,,사용중,,동아아파트102동(지하 1층),공공용시설,"제주특별자치도 제주시 독짓골8길 67, 102동 지하1층 (이도이동, 동아아파트)",제주특별자치도 제주시 이도이동 1909-19 동아아파트(지하1층) 102동,63221,지하,274.4,332,2023.6.9 17:51,I,2023.7.28 1:14,33,29,20.77,126,31,50.8,33.48910226,126.5307789,909960.5672,1500116.215
361,6510000-S199601009,1996.12.31,,사용중,,동아아파트103동(지하 1층),공공용시설,"제주특별자치도 제주시 독짓골8길 67, 103동 지하1층 (이도이동, 동아아파트)",제주특별자치도 제주시 이도이동 1909-19 동아아파트(지하1층) 103동,63221,지하,486,589,2023.6.9 17:52,I,2023.7.28 1:14,33,29,20.77,126,31,50.8,33.48910226,126.5307789,909960.5672,1500116.215
362,6510000-S201300001,2019.11.18,,사용중,,아이린아파트(지하주차장 1층),공공용시설,제주특별자치도 제주시 서사로7길 1 (삼도이동),제주특별자치도 제주시 삼도이동 632번지 6호,63171,지하,829,1004,2023.4.30 9:29,I,2023.7.28 1:14,33,30,26.66,126,31,12.56,33.5072419,126.5202103,908997.6988,1502136.67
363,6510000-S199601011,1999.2.1,,사용중,,이도2동주민센터(지하 1층),공공용시설,"제주특별자치도 제주시 오복3길 8, 이도2동주민센터 지하1층 (이도이동)",제주특별자치도 제주시 이도이동 1051-6 이도2동주민센터(지하1층),63211,지하,135.5,164,2023.6.9 17:55,I,2023.7.28 1:14,33,29,49.46,126,32,7.13,33.49696257,126.5352327,910382.4322,1500983.875
364,6510000-S199501031,1995.12.31,,사용중,,남북아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 가령로4길 14, 지하1층 (이도이동, 남북아파트)",제주특별자치도 제주시 이도이동 1052 남북아파트(지하주차장 1층),63210,지하,495.9,601,2023.6.9 17:46,I,2023.7.28 1:14,33,29,49.87,126,32,4.35,33.49721161,126.5344344,910308.5327,1501012.176
365,6510000-S199801008,1998.12.31,,사용중,,제주경제통상진흥원(지하주차장 1층),공공용시설,"제주특별자치도 제주시 연삼로 473, 제주경제통상진흥원 지하1층 (이도이동)",제주특별자치도 제주시 이도이동 390 제주경제통상진흥원(지하주차장 1층),63217,지하,3148,3815,2023.6.9 17:58,I,2023.7.28 1:14,33,29,57.12,126,32,25.76,33.49920457,126.5404866,910872.782,1501227.933
366,6510000-S199601010,1996.12.31,,사용중,,제주학생문화원(지하 1층),공공용시설,"제주특별자치도 제주시 연삼로 489, 제주학생문화원, 제주도서관 지하1층 (이도이동)","제주특별자치도 제주시 이도이동 414 제주학생문화원, 제주도서관(지하1층)",63218,지하,66,80,2023.6.9 17:54,I,2023.7.28 1:14,33,30,0,126,32,30.9,33.50000079,126.5419164,911006.4084,1501314.987
367,6510000-S201100048,2019.11.18,,사용중,,미듬아뜨리에 아파트 105동(지하주차장 1층),공공용시설,제주특별자치도 제주시 중앙로26길 25 (삼도이동),제주특별자치도 제주시 삼도이동 300번지 4호,63179,지하,2640,3200,2021.12.31 15:34,I,2023.7.28 1:14,33,30,17.33,126,31,21.41,33.50531727,126.522817,909237.8063,1501920.993
368,6510000-S199901005,1999.12.31,,사용중,,제주지방법원(지하 1층),공공용시설,"제주특별자치도 제주시 남광북5길 3, 제주 지방법원 지하1층 (이도이동)",제주특별자치도 제주시 이도이동 950-1 제주 지방법원(지하1층),63223,지하,927,1123,2023.6.9 18:00,I,2023.7.28 1:14,33,29,35.36,126,32,10.02,33.49315683,126.5361162,910460.5841,1500561.15
369,6510000-S201300002,2019.2.26,,사용중,,하귀휴먼시아아파트1단지(지하주차장 1층),공공용시설,제주특별자치도 제주시 애월읍 하귀9길 45,제주특별자치도 제주시 애월읍 167번지,63054,지하,7573,9179,2023.6.16 14:49,I,2023.7.28 1:14,33,28,57.39,126,24,56.91,33.48289416,126.4158557,899276.6775,1499533.458
370,6510000-S201300003,2019.2.18,,사용중,,제주아트센터(지하2층),공공용시설,"제주특별자치도 제주시 오남로 231 (오라이동, 제주아트센터)",제주특별자치도 제주시 오라이동 898번지 8호,63147,지하,726,880,2023.6.15 13:53,I,2023.7.28 1:14,33,28,30.29,126,30,55.87,33.475024,126.5150687,908486.2481,1498569.021
371,6510000-S198801015,2019.2.14,,사용중,,농협중앙회제주지역본부(지하주차장 1층),공공용시설,제주특별자치도 제주시 서사로 56 (삼도일동),제주특별자치도 제주시 삼도일동 794번지 3호,63172,지하,513,621,2023.4.29 17:37,I,2023.7.28 1:14,33,30,27.18,126,31,10.05,33.50752973,126.5197972,908959.6339,1502168.945
372,6510000-S201000003,2019.2.14,,사용중,,에이스침대(지하주차장 1층),공공용시설,제주특별자치도 제주시 서사로 114 (삼도일동),제주특별자치도 제주시 삼도일동 532번지 8호,63176,지하,272,329,2023.4.29 17:44,I,2023.7.28 1:14,33,30,8.01,126,31,10.63,33.50224266,126.519694,908944.5115,1501582.83
373,6510000-S201000007,2019.2.14,,사용중,,제동해피죤아파트(지하주차장 1층),공공용시설,제주특별자치도 제주시 서사로 92 (삼도일동),제주특별자치도 제주시 삼도일동 530번지,63176,지하,1005,1218,2023.4.29 17:41,I,2023.7.28 1:14,33,30,15.48,126,31,10.23,33.50422327,126.5197236,908949.3278,1501802.404
374,6510000-S199401023,1994.12.31,,사용중,,성호백록아파트(지하주차장 1층),공공용시설,"제주특별자치도 제주시 도남로 104, 지하1층 (도남동, 백록아파트)",제주특별자치도 제주시 도남동 64 백록아파트(지하주차장1층),63219,지하,872,1056,2023.6.9 17:39,I,2023.7.28 1:14,33,29,28.18,126,31,40.6,33.49110518,126.528073,909711.26,1500340.639
